class_date,level_category,language,course_type,q_predicted
2018-02-28 12:30:00,True Beginner,Spanish,Private,2
2018-02-28 13:00:00,True Beginner,Spanish,Private,1
2018-02-28 13:30:00,True Beginner,Spanish,Private,2
2018-02-28 14:00:00,True Beginner,Spanish,Private,1
2018-02-28 14:30:00,True Beginner,Spanish,Private,2
2018-02-28 15:00:00,True Beginner,Spanish,Private,2
2018-02-28 15:30:00,True Beginner,Spanish,Private,2
2018-02-28 16:00:00,True Beginner,Spanish,Private,2
2018-02-28 16:30:00,True Beginner,Spanish,Private,2
2018-02-28 17:00:00,True Beginner,Spanish,Private,2
2018-02-28 17:30:00,True Beginner,Spanish,Private,2
2018-02-28 18:00:00,True Beginner,Spanish,Private,2
2018-02-28 18:30:00,True Beginner,Spanish,Private,3
2018-02-28 19:00:00,True Beginner,Spanish,Private,3
2018-02-28 19:30:00,True Beginner,Spanish,Private,3
2018-02-28 20:00:00,True Beginner,Spanish,Private,4
2018-02-28 20:30:00,True Beginner,Spanish,Private,4
2018-02-28 21:00:00,True Beginner,Spanish,Private,5
2018-02-28 21:30:00,True Beginner,Spanish,Private,5
2018-02-28 22:00:00,True Beginner,Spanish,Private,5
2018-02-28 22:30:00,True Beginner,Spanish,Private,4
2018-02-28 23:00:00,True Beginner,Spanish,Private,4
