class_date,course_type,level_category,language,predicted_q
2018-02-26 14:00:00.000,Live,True Beginner,Spanish,22
2018-02-26 14:00:00.000,Private,True Beginner,Spanish,2
2018-02-26 14:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 14:00:00.000,Live,Intermediate,Spanish,13
2018-02-26 14:00:00.000,Live,True Beginner,Portuguese,6
2018-02-26 14:00:00.000,Private,True Beginner,Portuguese,2
2018-02-26 14:00:00.000,Live,Intermediate,Portuguese,2
2018-02-26 14:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 14:00:00.000,Live,High Beginner,Spanish,22
2018-02-26 14:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 14:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 14:30:00.000,Live,High Beginner,Spanish,22
2018-02-26 14:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 14:30:00.000,Live,Intermediate,Portuguese,2
2018-02-26 14:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 14:30:00.000,Live,True Beginner,Portuguese,4
2018-02-26 14:30:00.000,Live,Intermediate,Spanish,14
2018-02-26 14:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 14:30:00.000,Private,True Beginner,Spanish,2
2018-02-26 14:30:00.000,Live,True Beginner,Spanish,23
2018-02-26 14:30:00.000,Private,High Beginner,Spanish,2
2018-02-26 14:30:00.000,Live,High Beginner,Portuguese,5
2018-02-26 15:00:00.000,Live,High Beginner,Portuguese,5
2018-02-26 15:00:00.000,Private,High Beginner,Spanish,2
2018-02-26 15:00:00.000,Live,True Beginner,Spanish,27
2018-02-26 15:00:00.000,Private,True Beginner,Spanish,2
2018-02-26 15:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 15:00:00.000,Live,Intermediate,Spanish,15
2018-02-26 15:00:00.000,Live,True Beginner,Portuguese,5
2018-02-26 15:00:00.000,Private,True Beginner,Portuguese,1
2018-02-26 15:00:00.000,Live,Intermediate,Portuguese,3
2018-02-26 15:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 15:00:00.000,Live,High Beginner,Spanish,25
2018-02-26 15:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 15:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 15:30:00.000,Live,High Beginner,Spanish,27
2018-02-26 15:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 15:30:00.000,Live,Intermediate,Portuguese,3
2018-02-26 15:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 15:30:00.000,Live,True Beginner,Portuguese,5
2018-02-26 15:30:00.000,Live,Intermediate,Spanish,15
