class_date,course_type,level_category,language,predicted_q,final_q
2017-11-06 10:30:00.000,Live,True Beginner,Portuguese,1.6218,2
2017-11-06 10:30:00.000,Live,High Beginner,Portuguese,2.702,3
2017-11-06 10:30:00.000,Live,True Beginner,Spanish,8.6656,9
2017-11-06 10:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 10:30:00.000,Private,High Beginner,Spanish,1.7346,2
2017-11-06 10:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 10:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 11:00:00.000,Live,High Beginner,Portuguese,3.368,3
2017-11-06 11:00:00.000,Live,Intermediate,Spanish,11.4873,11
2017-11-06 11:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 11:00:00.000,Private,Intermediate,Spanish,0.5043,1
2017-11-06 11:00:00.000,Private,High Beginner,Spanish,1.7346,2
2017-11-06 11:00:00.000,Live,True Beginner,Spanish,11.2899,11
2017-11-06 11:00:00.000,Private,True Beginner,Portuguese,0.575,1
2017-11-06 11:00:00.000,Live,Intermediate,Portuguese,1.4717,1
2017-11-06 11:00:00.000,Private,True Beginner,Spanish,1.609,2
2017-11-06 11:00:00.000,Live,High Beginner,Spanish,17.5475,18
2017-11-06 11:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 11:00:00.000,Live,True Beginner,Portuguese,1.3966,1
2017-11-06 11:30:00.000,Live,True Beginner,Spanish,10.2957,10
2017-11-06 11:30:00.000,Live,High Beginner,Portuguese,2.4451,2
2017-11-06 11:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 11:30:00.000,Private,High Beginner,Spanish,1.8472,2
2017-11-06 11:30:00.000,Live,True Beginner,Portuguese,1.6218,2
2017-11-06 11:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 11:30:00.000,Live,Intermediate,Portuguese,1.5843,2
2017-11-06 11:30:00.000,Private,True Beginner,Spanish,1.3521,1
2017-11-06 11:30:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 11:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 11:30:00.000,Live,Intermediate,Spanish,8.7406,9
2017-11-06 11:30:00.000,Live,High Beginner,Spanish,16.2155,16
2017-11-06 12:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 12:00:00.000,Live,High Beginner,Portuguese,1.8917,2
2017-11-06 12:00:00.000,Live,Intermediate,Spanish,10.3708,10
2017-11-06 12:00:00.000,Private,True Beginner,Spanish,1.609,2
2017-11-06 12:00:00.000,Live,High Beginner,Spanish,18.0296,18
2017-11-06 12:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 12:00:00.000,Live,Intermediate,Portuguese,1.6969,2
2017-11-06 12:00:00.000,Private,High Beginner,Spanish,1.8472,2
2017-11-06 12:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 12:00:00.000,Live,True Beginner,Spanish,10.9934,11
2017-11-06 12:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 12:00:00.000,Live,True Beginner,Portuguese,1.7344,2
2017-11-06 12:30:00.000,Live,True Beginner,Portuguese,1.3966,1
2017-11-06 12:30:00.000,Live,High Beginner,Spanish,18.2548,18
2017-11-06 12:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 12:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 12:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 12:30:00.000,Private,High Beginner,Spanish,2.4006,2
2017-11-06 12:30:00.000,Live,High Beginner,Portuguese,3.1428,3
2017-11-06 12:30:00.000,Live,Intermediate,Spanish,9.3037,9
2017-11-06 12:30:00.000,Live,True Beginner,Spanish,12.5919,13
2017-11-06 12:30:00.000,Private,True Beginner,Spanish,1.0556,1
2017-11-06 12:30:00.000,Live,Intermediate,Portuguese,1.8412,2
2017-11-06 12:30:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 13:00:00.000,Live,Intermediate,Portuguese,1.4717,1
2017-11-06 13:00:00.000,Private,High Beginner,Spanish,1.9598,2
2017-11-06 13:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 13:00:00.000,Live,True Beginner,Portuguese,1.7661,2
2017-11-06 13:00:00.000,Live,True Beginner,Spanish,12.6949,13
2017-11-06 13:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 13:00:00.000,Private,True Beginner,Spanish,1.609,2
2017-11-06 13:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 13:00:00.000,Live,High Beginner,Spanish,18.1326,18
2017-11-06 13:00:00.000,Live,Intermediate,Spanish,11.3843,11
2017-11-06 13:00:00.000,Live,High Beginner,Portuguese,3.1428,3
2017-11-06 13:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 13:30:00.000,Live,True Beginner,Portuguese,2.4321,2
2017-11-06 13:30:00.000,Live,True Beginner,Spanish,10.0705,10
2017-11-06 13:30:00.000,Live,Intermediate,Portuguese,2.3946,2
2017-11-06 13:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 13:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 13:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 13:30:00.000,Live,Intermediate,Spanish,10.596,11
2017-11-06 13:30:00.000,Live,High Beginner,Spanish,18.583,19
2017-11-06 13:30:00.000,Live,High Beginner,Portuguese,3.6962,4
2017-11-06 13:30:00.000,Private,High Beginner,Portuguese,0.588,1
2017-11-06 13:30:00.000,Private,High Beginner,Spanish,1.2938,1
2017-11-06 13:30:00.000,Private,True Beginner,Spanish,0.9113,1
2017-11-06 14:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 14:00:00.000,Private,High Beginner,Portuguese,0.7006,1
2017-11-06 14:00:00.000,Live,True Beginner,Spanish,10.0705,10
2017-11-06 14:00:00.000,Live,High Beginner,Portuguese,3.5122,4
2017-11-06 14:00:00.000,Live,High Beginner,Spanish,17.4886,17
2017-11-06 14:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 14:00:00.000,Live,Intermediate,Spanish,10.6453,11
2017-11-06 14:00:00.000,Live,Intermediate,Portuguese,1.4717,1
2017-11-06 14:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 14:00:00.000,Live,True Beginner,Portuguese,2.4321,2
2017-11-06 14:00:00.000,Private,High Beginner,Spanish,2.6575,3
2017-11-06 14:00:00.000,Private,True Beginner,Spanish,1.7216,2
2017-11-06 14:30:00.000,Live,High Beginner,Portuguese,3.7375,4
2017-11-06 14:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 14:30:00.000,Private,True Beginner,Spanish,1.7216,2
2017-11-06 14:30:00.000,Live,True Beginner,Spanish,11.5881,12
2017-11-06 14:30:00.000,Live,High Beginner,Spanish,16.2375,16
2017-11-06 14:30:00.000,Private,High Beginner,Portuguese,0.7006,1
2017-11-06 14:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 14:30:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 14:30:00.000,Live,Intermediate,Spanish,8.4124,8
2017-11-06 14:30:00.000,Live,Intermediate,Portuguese,2.1694,2
2017-11-06 14:30:00.000,Live,True Beginner,Portuguese,2.5764,3
2017-11-06 14:30:00.000,Private,High Beginner,Spanish,2.6575,3
2017-11-06 15:00:00.000,Live,High Beginner,Portuguese,3.368,3
2017-11-06 15:00:00.000,Live,High Beginner,Spanish,15.9903,16
2017-11-06 15:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 15:00:00.000,Live,Intermediate,Portuguese,1.7286,2
2017-11-06 15:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 15:00:00.000,Private,High Beginner,Portuguese,0.588,1
2017-11-06 15:00:00.000,Private,High Beginner,Spanish,1.622,2
2017-11-06 15:00:00.000,Live,Intermediate,Spanish,9.8887,10
2017-11-06 15:00:00.000,Private,Intermediate,Spanish,0.5043,1
2017-11-06 15:00:00.000,Live,True Beginner,Portuguese,2.3195,2
2017-11-06 15:00:00.000,Live,True Beginner,Spanish,13.2483,13
2017-11-06 15:00:00.000,Private,True Beginner,Spanish,1.7216,2
2017-11-06 15:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 15:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 15:30:00.000,Live,High Beginner,Spanish,18.8619,19
2017-11-06 15:30:00.000,Live,True Beginner,Spanish,12.8392,13
2017-11-06 15:30:00.000,Private,High Beginner,Portuguese,0.588,1
2017-11-06 15:30:00.000,Live,High Beginner,Portuguese,4.1783,4
2017-11-06 15:30:00.000,Private,True Beginner,Spanish,1.8342,2
2017-11-06 15:30:00.000,Live,True Beginner,Portuguese,3.0172,3
2017-11-06 15:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 15:30:00.000,Live,Intermediate,Spanish,11.7125,12
2017-11-06 15:30:00.000,Live,Intermediate,Portuguese,2.3946,2
2017-11-06 15:30:00.000,Private,High Beginner,Spanish,2.288,2
2017-11-06 16:00:00.000,Live,High Beginner,Portuguese,4.0753,4
2017-11-06 16:00:00.000,Live,High Beginner,Spanish,21.7211,22
