,new,,,old,,,to create,,
date, tbs, tbp, cla ,TBSPA,TBPOR,INT,TBSPA,TBPOR,INT
1/12/2018 23:00,5,1,6,4,0,2,1,1,4
1/12/2018 23:30,3,1,3,3,0,2,0,1,1
1/13/2018 0:00,3,2,4,1,3,8,2,0,0
1/13/2018 0:30,3,2,1,0,1,2,3,1,0
1/13/2018 1:00,1,1,3,1,0,1,0,1,2
1/13/2018 1:30,1,1,1,1,0,1,0,1,0
1/13/2018 2:00,1,1,1,2,3,7,0,0,0
1/13/2018 2:30,1,2,1,0,1,1,1,1,0
1/13/2018 3:00,1,0,2,1,0,1,0,0,1
1/13/2018 3:30,0,1,2,1,0,1,0,1,1
1/13/2018 4:00,1,1,1,2,3,7,0,0,0
1/13/2018 4:30,1,1,2,0,1,1,1,0,1
1/13/2018 5:00,1,0,2,1,0,1,0,0,1
1/13/2018 5:30,1,1,1,1,0,1,0,1,0
1/13/2018 6:00,1,1,2,2,3,5,0,0,0
1/13/2018 6:30,1,1,2,0,1,1,1,0,1
1/13/2018 7:00,2,0,3,1,0,1,1,0,2
1/13/2018 7:30,0,1,1,1,0,1,0,1,0
1/13/2018 8:00,2,1,2,1,2,7,1,0,0
1/13/2018 8:30,1,1,3,0,1,3,1,0,0
1/13/2018 9:00,3,1,2,3,0,2,0,1,0
1/13/2018 9:30,1,0,5,2,0,2,0,0,3
1/13/2018 10:00,3,1,4,2,2,8,1,0,0
1/13/2018 10:30,3,1,3,0,1,3,3,0,0
1/13/2018 11:00,1,1,3,4,0,2,0,1,1
1/13/2018 11:30,2,0,4,2,0,2,0,0,2
1/13/2018 12:00,3,1,4,2,2,9,1,0,0
1/13/2018 12:30,1,1,4,0,1,3,1,0,1
1/13/2018 13:00,2,0,4,4,0,3,0,0,1
1/13/2018 13:30,2,1,4,3,0,2,0,1,2
1/13/2018 14:00,3,1,4,2,2,7,1,0,0
1/13/2018 14:30,3,1,3,0,1,3,3,0,0
1/13/2018 15:00,2,0,3,5,0,3,0,0,0
1/13/2018 15:30,3,0,4,3,0,3,0,0,1
1/13/2018 16:00,3,1,5,2,2,8,1,0,0
1/13/2018 16:30,2,1,4,0,1,4,2,0,0
1/13/2018 17:00,2,1,4,6,0,3,0,1,1
1/13/2018 17:30,3,1,5,3,0,3,0,1,2
1/13/2018 18:00,3,1,7,2,2,10,1,0,0
1/13/2018 18:30,4,0,3,0,1,4,4,0,0
1/13/2018 19:00,3,1,3,6,0,3,0,1,0
1/13/2018 19:30,1,2,8,4,0,3,0,2,5
1/13/2018 20:00,4,0,4,2,3,10,2,0,0
1/13/2018 20:30,4,1,2,0,1,4,4,0,0
1/13/2018 21:00,2,1,5,7,0,3,0,1,2
1/13/2018 21:30,2,2,7,4,0,2,0,2,5
1/13/2018 22:00,5,0,4,2,3,9,3,0,0
1/13/2018 22:30,3,1,2,0,1,4,3,0,0
1/13/2018 23:00,2,0,2,3,0,2,0,0,0
1/13/2018 23:30,0,1,7,2,0,1,0,1,6
1/14/2018 0:00,4,1,2,1,3,7,3,0,0
1/14/2018 0:30,3,1,2,0,1,2,3,0,0
1/14/2018 1:00,0,1,1,1,0,1,0,1,0
1/14/2018 1:30,1,2,1,1,0,1,0,2,0
1/14/2018 2:00,2,2,1,2,3,6,0,0,0
1/14/2018 2:30,1,1,1,0,1,1,1,0,0
1/14/2018 3:00,1,0,1,1,0,1,0,0,0
1/14/2018 3:30,0,0,3,1,0,1,0,0,2
1/14/2018 4:00,1,2,2,2,3,7,0,0,0
1/14/2018 4:30,1,1,1,0,1,1,1,0,0
1/14/2018 5:00,1,0,1,1,0,1,0,0,0
1/14/2018 5:30,0,1,2,1,0,1,0,1,1
1/14/2018 6:00,3,1,1,2,3,5,1,0,0
1/14/2018 6:30,2,0,2,0,1,1,2,0,1
1/14/2018 7:00,0,0,2,1,0,1,0,0,1
1/14/2018 7:30,1,1,3,1,0,1,0,1,2
1/14/2018 8:00,2,1,1,1,2,7,1,0,0
1/14/2018 8:30,0,0,3,0,1,2,0,0,1
1/14/2018 9:00,1,1,4,3,0,2,0,1,2
1/14/2018 9:30,2,1,3,2,0,2,0,1,1
1/14/2018 10:00,2,1,2,1,3,7,1,0,0
1/14/2018 10:30,0,0,5,0,1,3,0,0,2
1/14/2018 11:00,1,1,5,4,0,2,0,1,3
1/14/2018 11:30,3,1,6,2,0,2,1,1,4
1/14/2018 12:00,4,0,3,2,2,8,2,0,0
1/14/2018 12:30,0,1,4,0,1,3,0,0,1
1/14/2018 13:00,1,1,5,4,0,2,0,1,3
1/14/2018 13:30,1,1,4,2,0,2,0,1,2
1/14/2018 14:00,5,0,3,1,2,8,4,0,0
1/14/2018 14:30,2,2,3,0,1,3,2,1,0
1/14/2018 15:00,1,1,5,5,0,3,0,1,2
1/14/2018 15:30,2,0,5,3,0,3,0,0,2
1/14/2018 16:00,4,1,3,2,2,9,2,0,0
1/14/2018 16:30,1,1,4,0,1,5,1,0,0
1/14/2018 17:00,1,1,5,6,0,3,0,1,2
1/14/2018 17:30,4,1,6,4,0,3,0,1,3
1/14/2018 18:00,3,1,3,2,1,10,1,0,0
1/14/2018 18:30,5,1,2,0,1,5,5,0,0
1/14/2018 19:00,4,0,8,7,0,3,0,0,5
1/14/2018 19:30,3,0,11,4,0,3,0,0,8
1/14/2018 20:00,3,1,3,2,2,12,1,0,0
1/14/2018 20:30,4,1,1,0,1,6,4,0,0
1/14/2018 21:00,7,1,7,8,0,3,0,1,4
1/14/2018 21:30,3,1,7,4,0,3,0,1,4
1/14/2018 22:00,4,0,3,2,2,11,2,0,0
1/14/2018 22:30,7,0,1,0,1,5,7,0,0
1/14/2018 23:00,1,1,4,4,0,2,0,1,2
1/14/2018 23:30,7,0,0,3,0,2,4,0,0
